date,value
1966-8-1,49
1966-11-12,6
1972-12-31,23
1974-1-17,4
1974-12-30,10
1976-2-19,8
1976-7-12,9
1979-1-29,11
1979-10-6,7
1982-3-19,3
1982-8-20,12
1983-2-18,14
1983-8-19,4
1984-2-24,15
1984-6-29,7
1984-7-18,41
1985-1-21,4
1985-3-6,3
1986-8-12,5
1986-8-20,21
1986-12-4,4
1987-4-23,20
1988-2-11,3
1988-2-16,11
1988-5-20,9
1988-9-22,7
1988-9-26,11
1988-12-14,4
1989-1-17,36
1989-8-10,5
1989-9-14,21
1990-6-17,18
1991-11-1,7
1991-10-10,3
1991-10-16,44
1991-11-14,10
1992-5-1,14
1992-9-11,6
1992-10-15,5
1992-12-14,6
1993-7-1,15
1993-5-6,4
1993-5-6,6
1993-7-8,4
1993-8-6,12
1993-9-17,5
1993-12-7,25
1993-12-14,5
1993-12-16,3
1994-5-26,4
1994-6-20,28
1994-11-7,4
1995-1-26,4
1995-3-21,5
1995-4-3,6
1995-11-15,3
1996-2-2,4
1996-2-9,7
1996-8-15,3
1997-2-19,4
1997-9-15,7
1997-10-1,9
1997-12-1,8
1997-12-19,4
1997-12-18,7
1998-3-6,5
1998-3-24,15
1998-4-24,4
1998-5-21,29
1998-10-6,6
1999-4-20,39
1999-5-20,6
1999-7-29,22
1999-9-15,15
1999-11-2,7
1999-12-6,4
1999-12-30,8
2000-12-26,7
2005-1-2,10
2003-5-1,15
2002-1-16,6
2002-10-28,4
2005-9-3,3
2007-8-3,15
2003-8-27,7
2004-11-21,8
2012-8-4,12
2003-12-5,12
2005-3-21,15
2006-1-30,8
2006-3-25,9
2006-8-24,4
2006-8-30,3
2006-9-17,5
2010-2-6,11
2002-12-7,10
2004-10-7,10
2007-4-16,50
2010-7-7,8
2010-11-7,5
2007-10-25,4
2012-5-7,13
2012-9-7,10
2012-11-7,6
2007-12-24,6
2002-7-8,8
2008-2-14,23
2008-6-25,8
2008-7-24,3
2008-10-26,1
2008-12-24,12
2003-10-9,17
2009-3-29,7
2009-3-29,10
2004-3-9,18
2011-5-9,45
2009-11-29,5
2002-12-10,3
2008-3-10,11
2001-8-11,19
2002-6-11,12
2004-6-11,4
2007-7-11,10
2009-6-11,12
2010-12-11,9
2012-2-22,5
2012-2-27,6
2004-2-12,10
2004-6-12,5
2012-5-30,7
2006-9-12,6
2012-7-20,70
2008-5-12,11
2012-9-27,9
2012-9-28,15
2012-10-21,8
2012-11-12,4
2012-12-14,30
2013-1-19,5
2013-1-30,4
2002-3-13,6
2013-2-19,7
2013-4-21,5
2013-4-24,8
2006-7-13,9
2013-7-26,7
2008-5-13,6
2013-8-14,4
2013-9-16,16
2013-10-21,4
1971-11-11,6
1991-8-9,9
2005-2-24,7
2013-3-13,7
2011-1-13,4
2008-7-13,8
2013-12-28,8
2014-3-23,8
2004-2-14,20
2014-4-29,7
2014-5-23,14
2006-5-14,3
2006-8-14,5
2014-6-29,10
2008-8-14,5
2014-10-24,6
2014-11-19,4
2014-2-20,6
1994-12-30,7
2012-1-29,5
2014-12-15,8
2001-1-15,5
2001-10-15,4
2015-1-24,5
2015-1-28,5
2015-1-24,8
2002-10-15,3
2002-7-15,3
2002-9-15,4
2015-2-26,9
2012-1-14,5
2002-7-15,7
2002-1-15,6
2015-2-22,5
2015-2-22,5
2015-2-24,3
2015-2-27,3
2015-2-28,4
2015-3-13,5
2015-3-15,4
2015-3-18,6
2015-3-19,4
2015-3-28,7
2015-3-30,4
2004-3-15,4
2004-5-15,5
2004-7-15,4
2015-4-16,5
2015-4-21,5
2015-4-25,7
2005-1-15,5
2005-3-15,5
2005-12-15,5
2015-5-25,5
2015-5-31,4
2015-5-31,5
2006-7-15,5
2015-6-17,9
2015-6-20,4
2005-10-15,4
2015-6-16,4
2007-12-15,5
2015-7-16,8
2015-7-22,5
2015-7-23,12
2008-8-15,8
2015-8-19,7
2015-8-26,4
2015-8-29,4
2009-10-15,5
2015-9-17,6
2010-1-15,17
2010-9-15,4
2002-4-15,4
2015-9-27,10
2015-10-21,3
2015-10-31,4
2011-4-15,4
2010-1-15,4
2011-7-15,3
2015-11-13,5
2015-11-15,6
2015-11-23,5
2015-11-23,5
2015-11-27,12
2012-2-15,37
2012-6-15,5
2016-1-27,6
2002-7-16,12
2016-2-20,5
2016-2-20,8
2016-2-23,5
2016-2-25,18
2016-2-26,5
2016-2-27,4
2003-6-16,7
2003-7-16,5
2003-9-16,9
2016-3-19,5
2016-3-20,4
2016-3-21,4
2016-3-25,4
2016-3-26,3
2016-3-31,4
2001-6-16,4
2001-7-16,4
2001-11-16,5
2016-1-17,4
2016-1-23,3
2016-1-23,4
2016-1-25,5
2016-1-27,6
2016-1-29,4
2016-1-30,8
2016-1-31,3
2002-6-16,8
2002-6-16,4
2002-6-16,4
2002-7-16,8
2002-9-16,3
2016-2-19,4
2016-2-20,4
2016-2-20,8
2016-2-21,4
2016-2-21,5
2016-2-23,5
2016-2-25,5
2016-2-28,5
2016-2-28,4
2003-5-16,4
2003-6-16,7
2003-6-16,4
2003-7-16,4
2003-7-16,4
2003-9-16,8
2003-11-16,5
2003-11-16,4
2003-12-16,4
2016-3-13,4
2016-3-15,4
2016-3-19,4
2016-3-19,5
2016-3-20,4
2016-3-21,4
2016-3-25,4
2004-1-16,4
2004-7-16,5
2004-9-16,4
2004-9-16,4
2016-4-18,3
2016-4-19,5
2016-4-19,4
2016-4-19,5
2016-4-21,4
2016-4-24,6
2016-4-26,5
2016-4-29,4
2021-9-29,5
2021-9-28,4
2021-9-28,4
2021-9-27,5
2021-9-27,4
2021-9-26,6
2021-9-26,4
2021-9-26,6
2021-9-25,4
2021-9-25,5
2021-9-25,7
2021-9-25,6
2021-9-24,5
2021-9-24,4
2021-9-23,16
2021-9-23,4
2021-9-22,4
2021-9-21,5
2021-9-20,6
2021-9-20,4
2021-9-19,8
2021-9-19,4
2021-9-19,6
2021-9-19,4
2021-9-19,5
2021-9-19,4
2021-9-18,4
2021-9-18,4
2021-9-18,5
2021-9-17,4
2021-9-14,4
2021-9-14,6
2021-9-13,5
2021-9-12,4
2021-9-12,4
2021-9-12,4
2021-9-12,6
2021-9-11,6
2021-9-11,5
2021-9-11,4
2021-9-11,4
2021-9-11,4
2021-9-10,4
2021-9-9,7
2021-9-9,4
2021-9-8,4
2021-9-7,4
2021-9-7,6
2021-9-6,5
2021-9-5,4
2021-9-5,4
2021-9-5,4
2021-9-5,4
2021-9-5,6
2021-9-5,6
2021-9-5,4
2021-9-4,4
2021-9-4,4
2021-9-4,5
2021-9-4,6
2021-9-4,4
2021-9-4,5
2021-9-3,4
2021-9-3,4
2021-9-3,4
2021-9-2,4
2021-8-31,4
2021-8-30,6
2021-8-29,5
2021-8-29,4
2021-8-29,4
2021-8-28,5
2021-8-28,4
2021-8-28,4
2021-8-27,4
2021-8-27,4
2021-8-26,7
2021-8-23,4
2021-8-22,5
2021-8-22,5
2021-8-22,4
2021-8-22,6
2021-8-22,4
2021-8-21,4
2021-8-21,6
2021-8-20,4
2021-8-19,4
2021-8-19,5
2021-8-19,4
2021-8-18,4
2021-8-18,6
2021-8-18,4
2021-8-18,4
2021-8-17,5
2021-8-16,8
2021-8-16,4
2021-8-15,5
2021-8-15,4
2021-8-14,4
2021-8-14,4
2021-8-14,5
2021-8-14,5
2021-8-14,4
2021-8-14,4
2021-8-13,7
2021-8-11,5
2021-8-10,6
2021-8-10,2
2021-8-9,6
2021-8-9,6
2021-8-8,5
2021-8-8,5
2021-8-8,6
2021-8-8,4
2021-8-8,7
2021-8-8,5
2021-8-7,4
2021-8-7,4
2021-8-7,4
2021-8-6,4
2021-8-4,4
2021-8-3,4
2021-8-2,4
2021-8-2,9
2021-8-1,4
2021-8-1,4
2021-8-1,5
2021-8-1,5
2021-7-31,6
2021-7-31,4
2021-7-31,5
2021-7-31,4
2021-7-31,10
2021-7-31,5
2021-7-31,5
2021-7-29,4
2021-7-29,5
2021-7-28,4
2021-7-28,4
2021-7-28,5
2021-7-25,6
2021-7-25,6
2021-7-25,5
2021-7-25,5
2021-7-24,4
2021-7-24,6
2021-7-24,5
2021-7-23,4
2021-7-23,4
2021-7-23,6
2021-7-22,6
2021-7-21,5
2021-7-21,5
2021-7-21,5
2021-7-21,8
2021-7-20,4
2021-7-19,6
2021-7-19,4
2021-7-18,4
2021-7-18,5
2021-7-18,4
2021-7-18,7
2021-7-18,5
2021-7-18,4
2021-7-17,7
2021-7-17,6
2021-7-16,5
2021-7-16,6
2021-7-16,4
2021-7-16,4
2021-7-16,6
2021-7-16,5
2021-7-15,6
2021-7-15,4
2021-7-15,5
2021-7-14,5
2021-7-14,5
2021-7-14,4
2021-7-13,4
2021-7-13,7
2021-7-12,4
2021-7-12,5
2021-7-12,4
2021-7-11,6
2021-7-10,6
2021-7-10,4
2021-7-10,4
2021-7-9,4
2021-7-8,4
2021-7-5,12
2021-7-5,4
2021-7-5,4
2021-7-5,6
2021-7-4,4
2021-7-4,4
2021-7-4,4
2021-7-4,9
2021-7-4,5
2021-7-4,4
2021-7-4,6
2021-7-4,4
2021-7-4,5
2021-7-4,8
2021-7-4,5
2021-7-3,4
2021-7-3,4
2021-7-3,4
2021-7-3,4
2021-7-2,4
2021-7-2,5
2021-7-2,5
2021-7-1,7
2021-7-1,6
2021-7-1,4
2021-6-30,4
2021-6-30,4
2021-6-30,4
2021-6-30,4
2021-6-27,6
2021-6-27,4
2021-6-27,11
2021-6-27,4
2021-6-27,4
2021-6-26,4
2021-6-26,4
2021-6-26,4
2021-6-25,4
2021-6-25,4
2021-6-25,5
2021-6-24,5
2021-6-23,4
2021-6-23,4
2021-6-23,4
2021-6-23,4
2021-6-21,7
2021-6-21,4
2021-6-20,4
2021-6-20,8
2021-6-20,5
2021-6-20,11
2021-6-20,8
2021-6-20,5
2021-6-20,4
2021-6-20,4
2021-6-19,5
2021-6-19,6
2021-6-19,4
2021-6-19,8
2021-6-18,5
2021-6-17,4
2021-6-17,4
2021-6-17,4
2021-6-17,4
2021-6-16,6
2021-6-15,5
2021-6-15,8
2021-6-15,5
2021-6-14,4
2021-6-14,4
2021-6-14,4
2021-6-13,7
2021-6-13,4
2021-6-12,5
2021-6-12,15
2021-6-12,10
2021-6-12,7
2021-6-11,4
2021-6-11,8
2021-6-11,4
2021-6-11,5
2021-6-10,4
2021-6-10,4
2021-6-8,4
2021-6-8,5
2021-6-8,5
2021-6-7,6
2021-6-7,6
2021-6-6,5
2021-6-6,4
2021-6-6,4
2021-6-6,8
2021-6-6,9
2021-6-6,5
2021-6-6,8
2021-6-5,9
2021-6-5,4
2021-6-4,4
2021-6-2,4
2021-6-2,4
2021-6-2,6
2021-5-31,4
2021-5-31,4
2021-5-31,6
2021-5-30,5
2021-5-30,23
2021-5-30,4
2021-5-29,4
2021-5-29,4
2021-5-28,7
