date,value
1966-08-01,49
1966-11-12,6
1971-11-11,6
1972-12-31,23
1974-01-17,4
1974-12-30,10
1976-02-19,8
1976-07-12,9
1979-01-29,11
1979-10-06,7
1982-03-19,3
1982-08-20,12
1983-02-18,14
1983-08-19,4
1984-02-24,15
1984-06-29,7
1984-07-18,41
1985-01-21,4
1985-03-06,3
1986-08-12,5
1986-08-20,21
1986-12-04,4
1987-04-23,20
1988-02-11,3
1988-02-16,11
1988-05-20,9
1988-09-22,7
1988-09-26,11
1988-12-14,4
1989-01-17,36
1989-08-10,5
1989-09-14,21
1990-06-17,18
1991-08-09,9
1991-10-10,3
1991-10-16,44
1991-11-01,7
1991-11-14,10
1992-05-01,14
1992-09-11,6
1992-10-15,5
1992-12-14,6
1993-05-06,10
1993-07-01,15
1993-07-08,4
1993-08-06,12
1993-09-17,5
1993-12-07,25
1993-12-14,5
1993-12-16,3
1994-05-26,4
1994-06-20,28
1994-11-07,4
1994-12-30,7
1995-01-26,4
1995-03-21,5
1995-04-03,6
1995-11-15,3
1996-02-02,4
1996-02-09,7
1996-08-15,3
1997-02-19,4
1997-09-15,7
1997-10-01,9
1997-12-01,8
1997-12-18,7
1997-12-19,4
1998-03-06,5
1998-03-24,15
1998-04-24,4
1998-05-21,29
1998-10-06,6
1999-04-20,39
1999-05-20,6
1999-07-29,22
1999-09-15,15
1999-11-02,7
1999-12-06,4
1999-12-30,8
2000-12-26,7
2001-01-15,5
2001-06-16,4
2001-07-16,4
2001-08-11,19
2001-10-15,4
2001-11-16,5
2002-01-15,6
2002-01-16,6
2002-03-13,6
2002-04-15,4
2002-06-11,12
2002-06-16,16
2002-07-08,8
2002-07-15,10
2002-07-16,20
2002-09-15,4
2002-09-16,3
2002-10-15,3
2002-10-28,4
2002-12-07,10
2002-12-10,3
2003-05-01,15
2003-05-16,4
2003-06-16,18
2003-07-16,13
2003-08-27,7
2003-09-16,17
2003-10-09,17
2003-11-16,9
2003-12-05,12
2003-12-16,4
2004-01-16,4
2004-02-12,10
2004-02-14,20
2004-03-09,18
2004-03-15,4
2004-05-15,5
2004-06-11,4
2004-06-12,5
2004-07-15,4
2004-07-16,5
2004-09-16,8
2004-10-07,10
2004-11-21,8
2005-01-02,10
2005-01-15,5
2005-02-24,7
2005-03-15,5
2005-03-21,15
2005-09-03,3
2005-10-15,4
2005-12-15,5
2006-01-30,8
2006-03-25,9
2006-05-14,3
2006-07-13,9
2006-07-15,5
2006-08-14,5
2006-08-24,4
2006-08-30,3
2006-09-12,6
2006-09-17,5
2007-04-16,50
2007-07-11,10
2007-08-03,15
2007-10-25,4
2007-12-15,5
2007-12-24,6
2008-02-14,23
2008-03-10,11
2008-05-12,11
2008-05-13,6
2008-06-25,8
2008-07-13,8
2008-07-24,3
2008-08-14,5
2008-08-15,8
2008-10-26,1
2008-12-24,12
2009-03-29,17
2009-06-11,12
2009-10-15,5
2009-11-29,5
2010-01-15,21
2010-02-06,11
