age,kill_injure,race_sex
32,8,Black_Male
70,3,White_Male
66,9,Black_Male
65,3,White_Male
64,6,White_Male
62,3,Asian_Male
62,6,Unknown_Male
59,18,White_Male
59,4,Asian_Male
59,6,White_Male
59,4,White_Male
59,11,White_Male
58,3,Asian_Male
57,3,White_Male
57,12,White_Male
55,4,White_Male
55,14,White_Male
52,4,White_Male
52,5,Black_Male
51,11,White_Male
51,4,White_Male
51,4,White_Male
50,4,White_Male
50,4,Unknown_Male
50,4,White_Male
50,6,Black_Male
50,5,Black_Male
49,3,White_Male
49,3,Unknown_Male
49,3,White_Male
48,3,Black_Male
48,14,White_Male
48,8,Black_Male
47,20,White_Male
47,14,White_Male
46,4,Unknown_Male
46,3,White_Male
45,3,White_Male
45,11,White_Male
45,9,White_Male
45,7,Black_Male
45,3,White_Male
45,4,White_Male
45,0,White_Male
45,8,White_Male
45,8,White_Male
44,20,White_Male
44,21,White_Male
44,11,White_Male
44,7,White_Female
44,6,White_Female
44,8,Black_Male
44,6,Black_Male
43,7,Black_Male
43,6,Black_Male
43,10,Asian_Male
43,7,White_Male
43,3,Unknown_Male
43,1,Unknown_Male
42,17,Black_Male
42,7,Unknown_Male
42,6,Asian_Male
42,6,Unknown_Male
42,3,Asian_Male
42,3,White_Male
42,3,White_Male
42,4,Unknown_Male
41,40,White_Male
41,6,Black_Male
41,5,Unknown_Male
41,3,Unknown_Male
41,17,Asian_Male
41,9,White_Male
41,2,White_Male
41,6,White_Male
41,3,Black_Male
41,5,White_Male
40,4,Black_Male
40,7,Asian_Male
40,6,White_Male
40,10,White_Male
40,4,White_Male
40,3,Black_Male
40,5,Unknown_Male
40,4,Unknown_Male
40,3,White_Male
39,7,White_Male
39,11,White_Male
39,3,White_Male
39,3,White_Male
39,45,White_Male
39,4,White_Male
39,3,Black_Male
39,4,Black_Male
38,6,White_Male
38,17,Black_Male
38,4,White_Male
37,9,White_Male
37,4,White_Male
37,3,Black_Male
37,0,Black_Male
37,4,White_Male
36,3,White_Male
36,8,Unknown_Male
36,6,Unknown_Male
36,8,Asian_Male
36,8,White_Male
36,8,White_Male
36,4,White_Male
36,3,White_Male
36,3,White_Male
36,5,Black_Male
35,3,Black_Male
35,43,White_Male
35,4,White_Male
35,7,White_Male
35,5,Black_Male
35,3,White_Male
34,25,Black_Male
34,10,Black_Male
34,4,White_Male
34,9,Black_Male
34,14,Black_Male
34,19,Unknown_Male
34,4,Black_Male
34,3,Black_Male
33,5,Black_Male
33,6,Black_Male
33,3,White_Male
33,6,White_Male
33,3,White_Male
33,3,White_Male
33,4,Black_Male
33,3,Black_Male
32,10,White_Male
32,11,Unknown_Male
32,5,Black_Male
32,4,Black_Male
32,4,White_Male
32,1,Black_Male
32,4,Black_Male
32,3,Black_Male
31,9,White_Male
31,3,Black_Male
31,7,Black_Male
31,5,White_Male
30.5,4,Black_Male
30,3,Black_Male
30,8,White_Female
30,4,Black_Male
30,3,Black_Male
30,3,Black_Male
29,5,Black_Male
29,4,White_Male
29,5,White_Male
29,4,Asian_Male
29,3,Black_Male
29,101,Unknown_Male
28,14,Black_Male
28,6,Asian_Male
28,2,Asian_Male
28,5,White_Male
28,8,White_Male
28,16,White_Male
28,5,Black_Male
28,4,Black_Male
27,22,White_Male
27,4,Black_Male
27,4,Black_Male
26,4,White_Male
